year,elite_status,net_social_justice_normalized,net_racial_diversity_normalized,net_womens_rights_normalized,net_gay_rights_normalized,net_activism_normalized,net_capitalism_normalized,net_administration_normalized,net_compassion_normalized,wokeness_index_normalized
2018,elite,0.259665728,0.138014564,0.2272684435,0.09304699182,0.1310352161,0.0004985256802,0.04731126429,0.2710479673,0.2989361813
2018,non-elite,0.2425363057,0.1236235368,0.2133991593,0.08804492279,0.103092358,-0.009520028806,0.04968401598,0.2640174828,0.2873792899
2019,elite,0.2796472739,0.1561302738,0.2404394883,0.1154391959,0.1374041722,-0.01593128971,0.08596377092,0.2909098366,0.3216926555
2019,non-elite,0.2219430904,0.1352110806,0.2056772196,0.1118816249,0.1372749574,-0.02006786294,0.05381540515,0.2672075861,0.2980686277
2020,elite,0.2690124705,0.1763091557,0.240420908,0.1410199345,0.1842013406,-0.0254077857,0.06065608331,0.297957522,0.3353949741
2020,non-elite,0.2455498246,0.1542499445,0.2172419135,0.1169899858,0.1587577591,-0.0172085471,0.03187565727,0.2790661485,0.3089512994
2021,elite,0.2982355439,0.2099642233,0.2633036172,0.1540332421,0.2081052802,-0.02803699943,0.05306357106,0.3222896598,0.3572934397
2021,non-elite,0.2380767533,0.1609018227,0.2159487643,0.1164151766,0.1520987155,-0.01513156102,0.04281881509,0.2936009952,0.3103653984
2022,non-elite,0.2221252797,0.1415985066,0.2064016801,0.1113682428,0.1411635206,-0.01679955567,0.04564196677,0.2877543435,0.3006642449
2023,non-elite,0.1750022169,0.1093901347,0.1834505935,0.09198992331,0.1355078245,-0.01254881582,0.0255547997,0.2667710944,0.2752087434
